sample	total_paired(million)	properly_paired(million)	ratio	more_1_time(million)	ratio	align_ratio_all
ESC_IgG_10k_rep1	39.5849	19.9074	50.29%	14.2017	35.88%	86.17%
ESC_IgG_1k_rep1	29.275	11.4854	39.23%	7.79527	26.63%	65.86%
ESC_IgG_1k_rep2	42.9601	15.7048	36.56%	11.2406	26.17%	62.72%
ESC_Nanog_100k_rep1	47.2664	28.7879	60.91%	13.6968	28.98%	89.88%
ESC_Nanog_10k_rep1	58.9605	35.3094	59.89%	18.5412	31.45%	91.33%
ESC_Nanog_1k_rep1	34.7151	17.8364	51.38%	9.30061	26.79%	78.17%
ESC_Nanog_1k_rep2	37.2433	18.3926	49.38%	9.79658	26.30%	75.69%
ESC_Nanog_5k_rep1	49.1422	28.5721	58.14%	15.3256	31.19%	89.33%
ESC_Sox2_100k_rep1	47.885	25.631	53.53%	18.1546	37.91%	91.44%
ESC_Sox2_10k_rep1	55.5242	27.856	50.17%	22.7446	40.96%	91.13%
ESC_Sox2_1k_rep1	28.8612	9.93789	34.43%	8.88214	30.78%	65.21%
ESC_Sox2_1k_rep2	34.5777	13.5741	39.26%	11.571	33.46%	72.72%
ESC_Sox2_5k_rep1	42.2419	19.0657	45.13%	16.6189	39.34%	84.48%
