name,midBlast_Ctrl_rep1,midBlast_Ctrl_rep2,midBlast_siTfap2c_rep1,midBlast_siTfap2c_rep3,diff,pval,class
Ndc1,4.48391841101671,4.42630781522791,4.87554781952315,4.82043555493518,0.392878574106855,0.0101387968841848,none
Ndc80,5.04042407998597,5.16680656759239,5.01831449580273,5.46522768541986,0.138155766822112,0.612232405873981,none
Nde1,4.40136621823241,4.56017216947467,4.09475478576462,3.97205225358202,-0.447365674180224,0.0468058527183994,none
Ndel1,3.99068161079159,3.95363422816991,4.73122214258128,4.77155735341214,0.779231828515957,0.00123265890526092,up
Ndfip1,5.26326263353952,5.43148524471868,4.85308627217637,4.81762470422785,-0.512018450926995,0.0270468657767347,none
Ndfip2,2.25435160071787,2.41213806132935,2.26359497597724,2.23052703307519,-0.0861838264973884,0.396927664354278,none
Ndn,0.334456054440265,0.154900114437139,0.260222062820514,0.464855025593459,0.117860459768284,0.477841819080558,none
Ndnf,0,0,0.104127271617879,0.135104974852979,0.119616123235429,0.0163568836033219,none
Ndnl2,4.00201852747724,4.05858564330729,3.53893207885548,3.4440523911146,-0.538809850407224,0.0103447448998639,none
Ndor1,3.39830086489202,3.33434169622455,3.16725592986283,2.87248527670967,-0.346450677272034,0.148433891038381,none
Ndp,0,0,0.202417010079755,0.351154188052562,0.276785599066158,0.0652102959412112,none
Ndrg1,3.40707557010821,3.59956528827391,2.23495333661429,1.79436095033821,-1.48866328571481,0.0251009590902296,down
Ndrg2,0.158115399808949,0.164616851806268,0.579309621085014,0.670249514584285,0.463413442027041,0.00953843550375222,none
Ndrg3,3.00839554967422,2.91930224594876,2.48364509690038,2.35089989303498,-0.546576402843816,0.0207258863143771,none
Ndrg4,0.89051540638968,1.1586357479724,1.35835174251363,1.01935452398995,0.164277556070746,0.526542123081637,none
Ndst1,2.36226760644158,2.5232595652972,2.23241137181446,1.94067470592182,-0.356220547001247,0.165939199841687,none
Ndst2,0.919549839149038,1.16218005941948,1.22201545192902,1.0120606919404,0.0761731226504521,0.681719877971781,none
Ndst3,0,0,1.25899961148275,1.99780497437522,1.62840229292899,0.0478011070408136,up
Ndst4,0,0,0.446956919098333,0.728010462849205,0.587483690973769,0.0527322540500985,none
Ndufa1,1.2014985034215,1.18517654080729,1.32058987958553,1.26277229762201,0.0983435664893801,0.0819869503408772,none
Ndufa10,7.10364282262419,7.123268415968,7.00347390102193,7.28596402528189,0.0312633438558141,0.84573357441246,none
Ndufa11,4.30492886151428,4.25645297648344,4.56309032257824,4.36743654970477,0.184572517142643,0.208522138689176,none
Ndufa12,4.06747097089482,4.15338491224438,4.53542575189053,5.0419238642323,0.678246866491813,0.118475409562642,none
Ndufa13,6.25008778454474,6.17390462283739,6.34813913033661,7.25277423854992,0.5884604807522,0.324264514640565,none
Ndufa2,4.16601923451132,4.31176664341759,4.17797510972067,4.64347647431723,0.171832853054489,0.554084506617703,none
Ndufa3,4.01129786709519,3.99728258205279,3.74410980502729,4.36010202560128,0.047815690740296,0.890906725568675,none
Ndufa4,5.02478784482287,4.92442505962811,4.77461710640055,5.12409537252859,-0.0252502127609144,0.90226114807168,none
Ndufa4l2,0,0,0.540477371485616,0,0.270238685742808,0.422649730810374,none
Ndufa5,4.9031304372553,5.15181480630649,4.94636730542068,5.79783553369993,0.344628797779406,0.518455971722998,none
Ndufa6,5.60213608309416,5.54199880772478,5.23317229469136,5.2802075372738,-0.315377529426893,0.0143363922376469,none
Ndufa7,3.14372133688965,3.41050248924175,2.88215783588646,3.50457309191835,-0.083746449163292,0.82772010391348,none
Ndufa8,4.69905534008343,4.63193776282542,4.71219769080892,4.38166033048029,-0.118567540809816,0.554829911167628,none
Ndufa9,5.1013841975065,4.9946090122195,5.14294272882008,5.43307107685604,0.240010297975056,0.260693151107504,none
Ndufab1,5.96545505464186,5.84396014564332,6.24343676474417,6.21717692212943,0.32559924329421,0.0345573889100559,none
Ndufaf1,3.12951199451748,3.10659257781032,2.75206633854724,3.36831389188709,-0.057862170946736,0.868458100061341,none
Ndufaf2,1.81352078378838,2.00490475667109,1.20468761511651,2.09587987888443,-0.258929023229262,0.627226023655668,none
Ndufaf3,1.21025271472317,1.35424072739175,1.10542061572486,1.05300037963232,-0.203036223378873,0.117766680132325,none
Ndufaf4,4.43049617970547,4.31135881747451,3.71929149181293,4.15479155794174,-0.433885973712655,0.194549521489115,none
Ndufaf5,1.08468344390003,1.13753493774647,1.23026607377752,1.02781804728511,0.0179328697080696,0.879671805099611,none
Ndufaf6,3.38499397272718,3.22147353952264,3.41137931231937,3.57264669479444,0.188779247431992,0.241909433503023,none
Ndufaf7,3.54316192678223,3.63269895071779,3.9930561627783,4.26492322214906,0.541059253713667,0.0633860837344955,none
Ndufb10,6.68753939311126,6.73095705437266,6.08720018249663,6.21134644612616,-0.559974909430567,0.0135117386936052,none
Ndufb11,5.48664397784335,5.28128040819246,5.42762866424777,5.68086781940521,0.170286048808586,0.405876565972066,none
Ndufb2,3.71043521228564,4.34250651152883,3.39248625240537,4.48470738852661,-0.0878740414412449,0.90199563291869,none
Ndufb3,3.00627502532882,2.98019095417477,2.9470234778691,3.58823224792774,0.27439487314662,0.482556580935819,none
Ndufb4,5.71150907470623,5.79807359895818,6.13414017276968,6.00428810624208,0.314422802673676,0.0564261462541598,none
Ndufb5,5.46994810480954,5.55630687499435,5.07671518575116,5.59814996801786,-0.175694913017434,0.574558328435261,none
Ndufb6,4.24867604845348,4.2647326458774,4.87188930244422,4.82321711138307,0.590848859748202,0.00187581632342271,up
Ndufb7,5.26424188669942,5.54097221838362,5.27551740724662,6.01613746160416,0.243220381883868,0.601066277025145,none
Ndufb8,5.82833156964036,5.86360249246523,5.13888000794542,5.32790209605687,-0.612575979051652,0.0237582267924641,down
Ndufb9,5.56442187918644,5.64066396399303,5.14279406392204,5.91298854515319,-0.0746516170521208,0.864844719265375,none
Ndufc1,3.02411275450028,3.20855140300024,3.01361774467894,4.18907779169089,0.485015689434657,0.500567947055076,none
Ndufc2,3.24828696742334,3.51064345729229,3.33170911900979,4.12590946070149,0.349344077497825,0.491420509462583,none
Ndufs1,6.57169376663029,6.75811597638355,6.59781394661626,6.69609932440094,-0.0179482359983183,0.880421511636154,none
Ndufs2,5.63034263241297,5.43113581168347,5.21004106856839,5.2140024261383,-0.318717474694877,0.0853767313751124,none
