name,8Cell_Ctrl_rep1,8Cell_Ctrl_rep2,8Cell_Ctrl_rep3,8Cell_siTfap2c_rep1,8Cell_siTfap2c_rep2,8Cell_siTfap2c_rep3,diff,pval,class
Sh2d3c,2.98061414240225,3.50956787504556,3.19267438849282,3.93951460990494,3.71824627848755,3.96317745279267,0.646027311748176,0.0199765081026678,up
Sh2d4a,0.0338962703003303,0.0906347265703217,0,0,0,0,-0.0415103322902173,0.191499832202772,none
Sh2d4b,0.812231996023509,0.54311942447431,0.919347709577853,0.576857701371478,0.479162469409233,0.975762760086474,-0.0809720664028291,0.689900313319977,none
Sh2d5,0.407736460544675,0.852156493606651,0.713149103495047,0.936634936328682,1.08066380814005,1.37801822674357,0.474091637855308,0.0621928942466365,none
Sh2d7,0.0493489461156192,0,0,0,0,0,-0.0164496487052064,0.373900966300059,none
Sh3bgr,0.157359438194053,0.230231387671188,0,0.107080378773658,0.042858300629251,0.049078372834331,-0.0628579245426668,0.425686761166698,none
Sh3bgrl,0.343052125240349,0.607724425483555,1.3491033314941,0.783130955910865,0.956643910594285,0.630493171876909,0.0234627187213524,0.944287347522491,none
Sh3bgrl2,1.65801131090439,1.63067277596997,1.95556986620522,2.26736634221659,2.14646057925662,1.6572329751846,0.275601981192745,0.266447758849025,none
Sh3bgrl3,1.39825265067676,1.32457831458407,1.39676655426208,1.29308618547905,1.40532596981686,1.31698098241511,-0.0347347939373024,0.453802366082821,none
Sh3bp1,0.728304815713707,0.737086519386522,0.653325811735783,0.376109231435809,0.542006767602849,0.320939983784298,-0.293220388004352,0.0148763885045021,none
Sh3bp2,2.10080516516344,2.0346762897844,2.13706749062261,1.69484260165107,1.27980179415822,1.25764371101346,-0.680086946249232,0.00944573750358657,down
Sh3bp4,0.99897124556448,0.8052375986299,1.06672104247764,0.719249661987154,0.552899544183026,0.631789179957245,-0.322330500181531,0.0247352025800978,none
Sh3bp5,0.125481894372951,0.0155566628910744,0.0705253157338158,0.0452189028099563,0.0156337125697205,0.0427220069178109,-0.0359964169001179,0.338168251350611,none
Sh3bp5l,3.86656321206497,3.86700709480158,3.641613234105,3.35216431893636,3.64537004748871,3.63898355271308,-0.246221873944462,0.114591907609687,none
Sh3d19,4.05197963566842,4.33170983031742,4.11916641512861,4.76810859910598,4.90534762838951,4.86422156532122,0.678273970567418,0.0019250267681854,up
Sh3d21,3.48872195502417,3.61819687799269,3.40422358444018,0.808542042560318,0.744855080409033,0.710850837995132,-2.74896481883085,2.30289302527442e-06,down
Sh3gl1,4.26570458072411,4.54594383186625,4.2508313267572,4.37794744385476,4.37421916140109,4.46541762577517,0.0517014972278203,0.634082934094959,none
Sh3gl2,0.0419459761472508,0,0,0,0,0.0272864119659027,-0.00488652139378269,0.78412481874534,none
Sh3gl3,0.0549673343142655,0,0,0.18905135554498,0.149514005745194,0,0.0945326756586362,0.192701891512453,none
Sh3glb1,2.69569203808822,2.83181139825525,2.55020156909201,2.7663510095764,2.55542736955866,2.57326766353078,-0.0608863209232098,0.595438884497846,none
Sh3glb2,0.746579672814512,0.838087039126699,0.559936620222504,0.515033044397691,0.63332616215502,0.589663103254857,-0.135527007452049,0.201798879660104,none
Sh3kbp1,0.711239413592884,0.928993547211913,0.920114199963298,0.898867572957116,1.13750598871068,0.968715923410813,0.148247441436839,0.213838852063227,none
Sh3pxd2a,2.36533131892358,2.53182855476142,2.42736204334295,2.42268604767423,2.39364894802493,2.46282851939067,-0.0151194673127075,0.787887886410849,none
Sh3pxd2b,0.0442599844476934,0.0183661341530306,0.0419890335081915,0.0765552515453538,0.0417212434019034,0.0431575840465504,0.018939642294964,0.249564089936179,none
Sh3rf1,2.68928827813919,2.65597475248338,2.89276400284073,2.78656061225836,2.50810335563679,2.74751845281306,-0.0652815375850331,0.598314054626624,none
Sh3rf2,0.0523273989635748,0.0205972718092842,0.0932063208117569,0.0994197604048066,0.108459244740221,0.0806368872390176,0.0407949669331432,0.144791981403003,none
Sh3rf3,0.924462116024259,1.26352132591547,1.17504408511708,1.25631525449077,1.24379152500076,1.33114200810387,0.156073753512864,0.211848536393249,none
Sh3tc1,2.928468372786,3.06916016070332,2.69612580559084,1.80356014550037,2.13988394576235,2.08309408911958,-0.889072052899291,0.00410442843255554,down
Sh3tc2,0.211722233910465,0.192459272458977,0.0254874127958776,0.134967954376596,0.160848400988733,0.164545915009508,0.0102311170698393,0.872580725044245,none
Sh3yl1,0.215224901094063,0.343519413891679,0.307318653513152,0.238737517585666,0.2707716524209,0.243930329548162,-0.0375411563147218,0.395267274146539,none
Shank1,0.178135073723037,0.102379580028954,0.284646475805468,0.124122709948947,0.088241257380268,0.151173355419119,-0.067207935603042,0.295696990040661,none
Shank2,1.08263178438303,1.64760836499501,1.39712002991637,1.41540296472673,1.66134347087861,1.5717983382968,0.173728198202574,0.385640364042453,none
Shank3,0.509966100600663,0.633658179982245,0.297853099961381,0.358529386350335,0.275527203218823,0.310800603220322,-0.165540062584936,0.176415241963016,none
Sharpin,2.19598409779483,2.68159064814497,1.92977458390682,2.1795138896145,2.14802249326379,2.09808981840705,-0.127241042853762,0.596203909569387,none
Shb,1.21887620214899,0.843899723790644,1.39170888505306,1.28626222433817,1.14737218740531,1.28538153608996,0.0881770456135815,0.627711272737845,none
Shbg,0.847227401346888,0.98125472440252,0.872214071806654,1.32173948830105,1.62319068031199,1.48104312687957,0.575092365978847,0.00395025543081284,none
Shc1,3.49918448250059,3.53536753700276,3.29618714613491,3.29167196909573,3.0974284893995,3.07168494679418,-0.289984586782949,0.0464533968480745,none
Shc2,0,0.0163732661304391,0,0,0.0343414718559603,0,0.00598940190850708,0.661334652767004,none
Shc3,0.393109509234561,0.701320838451305,0.136955298833146,0.518729573143685,0.539412755705577,0.681034695303159,0.16926379254447,0.378121921103702,none
Shc4,0,0,0.174270243363815,0.198092884280716,0.0714812710334879,0,0.0317679706501296,0.718278123407037,none
Shcbp1,3.11426686092795,3.44166123466536,3.45208477144582,3.84908538202666,3.61255753720448,3.5980497972001,0.350559949797374,0.0634073809589851,none
Shcbp1l,0.468195289507601,0.462597882904984,0.516990870544938,0.684850922189307,0.902806709125346,0.659983792539956,0.266619126965695,0.027962337204246,none
Shd,0.127091758187235,0,0.366986605848236,0.280363350013552,0.271669767410693,0,0.0193182511295914,0.898067227716767,none
