name,8Cell_Ctrl_rep1,8Cell_Ctrl_rep2,8Cell_Ctrl_rep3,8Cell_siRarg_rep1,8Cell_siRarg_rep2,8Cell_siRarg_rep3,diff,pval,class
Ttc7b,3.67380597612537,3.62096280167243,3.74544435970967,3.73105642337592,3.89847175302536,3.54435453011887,0.0445565230042249,0.702239736950697,none
Ttc8,0.77860254558639,0.727071153178723,0,0.421325550100457,0.377278394918005,0.215182797246586,-0.163962318833355,0.561199321759994,none
Ttc9,0.347187760624713,0.502024030992102,0.31866388951096,0.331180434710043,0.3345944938378,0.325316933903636,-0.0589279395587652,0.359840141885705,none
Ttc9b,0.027082396114101,0,0,0.0485936387600541,0,0,0.00717041421531769,0.718684414098249,none
Ttc9c,1.85827640968335,1.94122105305374,1.67874382914192,1.88718110961396,1.7399370381264,1.75637619821984,-0.0315823153062702,0.744408208731893,none
Ttf1,4.3496594760741,4.59182400343189,4.41667233342643,4.63289080902312,4.45397586627353,4.58291920499898,0.103876689121072,0.311450261711658,none
Ttf2,1.61249061775886,1.47656540608033,1.65412095516477,1.70495149105574,1.32263984813053,1.53904204487874,-0.0588478649796498,0.657274910871411,none
Tti1,3.89274096198251,3.86835926710881,3.86725512172083,3.71820907991909,3.73838434551808,3.83796124945172,-0.111266891974418,0.0426945518407371,none
Tti2,2.12880454452508,2.30790701472546,2.1337568722969,2.3447405981517,2.40938606186873,2.16484201221362,0.116166746895538,0.28378673668559,none
Ttk,3.74827495096951,3.59121981852848,3.72444486690745,3.79610771493876,3.52365532427563,3.80788013234924,0.021234511719403,0.849486322358215,none
Ttl,5.16367399858115,5.21233595769123,5.16184488356743,5.04780323353701,5.1377251301805,5.00572184966457,-0.115534875485912,0.0523604323604476,none
Ttll1,1.32542097082045,1.37817853032626,1.41806011600657,1.29939253459215,1.41927966421825,1.52762495868169,0.0415458467796048,0.590687880492152,none
Ttll10,0.867722568946231,0.978695575798375,1.1336394320754,0.878605250701599,0.896360714684743,1.14319089589391,-0.020633571846586,0.866391938756896,none
Ttll11,0.411938198281491,0.588510548872218,0.375797959658586,0.47025143152962,0.854889803166538,0.528745722273587,0.15921341671915,0.308308404041095,none
Ttll12,3.74955605992006,3.46575670140447,3.60790646018989,3.79771767967308,3.75845575458485,3.8891494715729,0.207367894772136,0.0839974979816092,none
Ttll13,0.604758261829426,0.425268377040054,0.281076218593127,0.560168454623129,0.34224189030902,0.464647165506969,0.01865155099217,0.876780974054674,none
Ttll2,0.0242586403072635,0.0218019731138558,0,0,0,0,-0.0153535378070398,0.11724677629412,none
Ttll3,1.72988990210924,1.7599354483573,1.68890408085225,1.86634128137053,1.66709978542321,1.92725010519652,0.093987246890487,0.311542305350935,none
Ttll4,4.25982863295109,4.42164339026049,4.45289685690101,4.44866037339092,4.40532382084586,4.36709971319319,0.0289050091057907,0.676342801180145,none
Ttll5,2.61606081185946,2.57452413612434,2.66323181944045,3.0231093317005,2.77822221210006,2.77029003333184,0.239268269902716,0.0511117862033483,none
Ttll6,2.92102155418333,2.65728527632956,2.45425682807758,3.10136358830284,3.03700808955214,2.66103380366062,0.255613940975044,0.255235282723466,none
Ttll7,0.33102794951356,0.40884541024223,0.396581867066978,0.158584719010444,0.20320676920475,0.391320410265668,-0.127781109447302,0.16491806348566,none
Ttll8,0.00241613392262822,0.00091926981879656,0,0,0.000698835050554539,0.00362878160095598,0.000330737636695245,0.813923296214727,none
Ttll9,0.581089568298955,0.559080739585041,0.664070610278844,0.51105866475252,0.326605646196993,0.557712315805117,-0.13628809713607,0.15331551529876,none
Ttn,7.0568478865468,7.12554248723196,7.10188600639552,7.0685785438191,7.14761321564706,7.14043039093903,0.0241152567436389,0.496672663988588,none
Ttpa,0.679541831342099,0.712923389015808,0.772057426801214,0.865174159744715,1.3085789517425,0.761560912865942,0.256930459064678,0.205067035934793,none
Ttpal,2.6563097802929,2.78563883981697,2.88661968137834,2.76965034771819,2.6457363837481,2.63189937204097,-0.0937607326603191,0.304931802575834,none
Ttr,0,0,0,0,0,0,0,,none
Ttyh1,0.156556336929259,0.0710336461688398,0.236851584470022,0.145680375001999,0.0622423923741852,0.208047177569237,-0.0161572075409004,0.812684006701542,none
Ttyh2,2.79854042266807,3.11107583363032,2.77537369592253,2.90314833266117,2.75224758732053,2.79753850983072,-0.077351840802832,0.545044988100255,none
Ttyh3,2.49318752389994,2.66339065840669,2.20559509896863,2.41124435806231,2.14362728050049,2.23920633846175,-0.189365101416902,0.288487751028458,none
Tub,3.18498381165242,3.18392573151426,3.29514236846296,3.23952498625361,3.6118786226335,3.69464946852838,0.294000388595288,0.112071983648821,none
Tuba1a,1.4190910669386,0.960266770218008,1.42312354141016,0.604235805742672,1.43557490877366,0.883352450084836,-0.293106071321863,0.367183113182942,none
Tuba1b,3.25836777814129,3.29852138432093,3.28463817987901,2.94636067792428,3.11318363698294,3.21105152461066,-0.190310500941115,0.071604828362116,none
Tuba1c,3.63506023270717,3.79592852803271,3.85871095133227,3.27889414496131,3.58914588600003,3.83162278196134,-0.196678966383157,0.319735127745983,none
