gene,class
Dgka,down
Dld,down
Dmtn,down
Dnajc12,down
Dnmt3b,down
Dnph1,down
Drc7,down
Dusp10,down
Dusp6,down
Efr3b,down
Egfl8,down
Egln1,down
Egln2,down
Elf4,down
Elmo2,down
Eml2,down
Endod1,down
Eng,down
Eno2,down
Epas1,down
Epb4.1l1,down
Epg5,down
Ephb4,down
Ephx1,down
Eps8l1,down
Eps8l2,down
Erbb2,down
Etv5,down
Fam102a,down
Fam129a,down
Fam159b,down
Fam212a,down
Fam222b,down
Fam58b,down
Fam63a,down
Fam83g,down
Fam83h,down
Fbn1,down
Fbxo38,down
Fdx1,down
Fermt2,down
Fes,down
Ffar1,down
Ffar3,down
Fgd2,down
Fgf13,down
Fgr,down
Fhl3,down
Fktn,down
Flna,down
Fnbp1l,down
Fndc5,down
Foxi3,down
Foxn3,down
Fpr3,down
Fsd2,down
Fsip1,down
Fut4,down
Gabrd,down
Galnt2,down
Galnt6,down
Galntl5,down
Gbgt1,down
Gca,down
Gipc1,down
Glipr2,down
Gm10416,down
Gm21057,down
Gm6251,down
Gm867,down
Gng2,down
Gpr137,down
Gpr171,down
Gpr18,down
Gpr183,down
Gprc5a,down
Gramd1b,down
Grb7,down
Grin1,down
Grin1os,down
Grk6,down
Grtp1,down
Gsdmc4,down
Gyltl1b,down
H2afy,down
H2-T24,down
Hand1,down
Hap1,down
Hapln4,down
Hcn2,down
Hcn3,down
Hdac5,down
Helz,down
Hes1,down
Hexa,down
Hip1,down
Hipk1,down
Hmgcl,down
Homer2,down
Hscb,down
Htr2b,down
Icam1,down
Igsf3,down
Inf2,down
Inhbb,down
Inpp5b,down
Inpp5d,down
Irf6,down
Irgq,down
Isca1,down
Isl2,down
Itfg1,down
Itga3,down
Itgb1bp1,down
Itm2a,down
Itpripl1,down
Jdp2,down
Jkamp,down
Kank1,down
Kank4,down
Kazn,down
Kcnf1,down
Kcng1,down
Kcns3,down
Kcp,down
Kctd15,down
Kdelr3,down
Kdm4b,down
Kif13b,down
Kif19a,down
Klf11,down
Klf5,down
Klf8,down
Klhl14,down
Klhl24,down
Kremen2,down
Krt18,down
Krt7,down
Krt8,down
L1cam,down
Lama4,down
Lamb2,down
Lamc1,down
Lasp1,down
Lat2,down
Lcat,down
Ldlr,down
Lif,down
Limk2,down
Loxl2,down
Lpar5,down
Lpin1,down
Lrrtm2,down
Ltbp4,down
Ly6g6e,down
Lypd8,down
Lzts2,down
Magi2,down
Magix,down
Map3k7,down
Mapk7,down
Mbp,down
Mef2d,down
Mertk,down
Micall1,down
Mir22hg,down
Mpzl2,down
Mras,down
Mrps33,down
Msn,down
Mthfr,down
Myc,down
Mycl,down
Myh14,down
