gene,MII,Zygote,l2cell,4cell,8cell,Morula,ICM,TE,e2cell,m2cell,mES,TSC
Ptp4a1,3.17754210811904,2.73908588326912,4.12209089711422,2.62005733829333,5.08314651962971,4.26485832285315,3.72436053504861,0.326119545313472,1.22903588764761,3.11431841054197,3.81128036395026,3.89667477776652
Ptp4a2,8.37250930207507,7.57893598069545,7.44952071228766,6.72431750809533,7.79156891974732,7.00272444775896,7.25384228786028,4.86524159874793,7.80910067871153,7.72152854645673,5.29116301422717,5.90892774132183
Ptp4a3,0.0175482671954816,0.0921947656071471,0,0.985200154673958,1.39833624177596,4.58187737461573,5.65228264649216,5.18710720524818,0.0671694256072648,0,5.23520032873731,4.68558119894427
Ptpdc1,2.04111671088084,2.86362822920118,1.00254803586504,0.0646926610834453,0.498483730888486,0.386201284084631,0.610077842713677,1.12642962138772,3.29151894806644,2.9734249618376,1.76075448927144,2.72294964570096
Ptpmt1,0.0475484799267278,0.180794034974518,0.879876845913856,0.0526811247458421,2.28643207636869,4.08357207708193,3.93979024174133,5.86645112680897,0.399024869458431,2.00760577308692,2.48549937695235,3.57041911839854
Ptpn1,2.75750852683157,3.20102938815786,5.02736062051924,1.65859433547542,4.32492387016256,4.21376171490875,2.45309790481227,3.52080602565147,1.78136765213494,3.99487789327521,4.3357590774646,4.54742029456963
Ptpn11,4.13310035024288,4.61647195144572,3.70969612337993,4.08411686545448,3.74393853294159,2.57957996959296,2.67541207313796,2.63004156530541,5.60946652891877,6.01701656801076,3.26408889221712,4.12657109191972
Ptpn12,0.829412606262541,1.92181368941656,2.49209169605826,2.50344597829557,3.77848769177948,3.14978413415147,2.96270526424047,2.07421507902647,4.24513820294678,4.9797268734809,2.33964738125342,3.03233329632657
Ptpn13,5.80725360058901,3.23162259552815,4.40558389096945,6.09351957538099,5.74948105617216,4.40835797446105,4.91550058533389,3.27123371015408,3.28119445019404,3.91097317765344,4.29300344190156,7.18613856145823
Ptpn14,0.257684689667831,1.42510990773505,0,0.0415815909059992,0.328532243281351,0.52035528714138,0.295916697561239,0.918643931128071,0.253960824295078,0.122238655610111,3.30191367626076,5.311295259544
Ptpn18,0.81630563708553,2.15657333263333,0,0,0.251500673792574,1.23354793739382,1.49692670255492,0.899943719316286,0.490587573607036,0.531188154293451,0.31651625963496,2.3389587176941
Ptpn2,5.64469321541233,5.61504755838164,6.47669185415069,6.24350781181011,7.39974321866132,5.11367136765262,4.40928932048773,2.09875128075803,6.59777730151977,7.20313797244132,3.7478137060466,3.54021666051123
Ptpn20,0,0,0,0,0,0.271909779130158,0,0.404394312547813,0.0712303000831909,0,0.107176236335966,0.0169312735890936
Ptpn21,7.4916352770871,7.78012273896236,2.86284826264847,4.92448049763911,4.24989860625004,2.40416835138876,2.72386729659895,1.8456595744391,7.11341874815902,5.19919583146515,2.56754389779218,3.76139758652611
Ptpn22,2.61340428420848,3.41797636698093,1.33543679802146,0.396287850399953,2.46410044333262,1.32678293605235,0,0,4.3002634762102,3.05661801685893,0.0812903836102804,0.0224164167636942
Ptpn23,1.84409602577995,4.03204504051204,0.0321497340960671,1.54205909724805,1.46698260656579,0.934663364046558,0.159564999295833,0.969724811479903,5.18792732712725,3.87276016725541,4.31661739105457,4.77243138606685
Ptpn3,0.20658171937562,0.509903830461861,0.615590854307398,0.661586555565429,1.75092322227778,2.07488688487583,2.40422294683429,0.278623302568573,0.93598672821984,0.819669003176216,3.89863695605712,4.22741305338503
Ptpn4,1.08188702097164,0.612477133738279,1.07508775761047,0.991407020201089,2.23634523498931,0.787705113367517,0.877852811251641,0,0.485417913301495,1.11144573138391,1.89138716780803,3.16905559209095
Ptpn5,1.54714545434736,1.14968539977727,0,0.0349403591170498,0,0.00948297830883614,0,0,0.243887139339544,0.0233095402144277,0.0290588009843681,0
Ptpn6,1.04710042970699,3.2987069255362,0.584705460542609,0,0.678809855647285,2.96171948697327,1.9522670940031,1.85268747858495,1.94473868134942,0.259687773983928,2.86006938368747,2.57983939739485
Ptpn7,0.0106767357974304,0.0273588394281865,0,0.0197532191417066,0.106103662389631,0,0.808018351882982,0,0.137110122677202,0.237315586475401,0.595247216161876,0.108351749203571
Ptpn9,0.298826632920543,0.785604487029952,2.32626755683927,2.24054208271313,2.2416001885281,0.24565526822622,0.563775538184938,0.625594146061563,2.02568433293602,3.98757630459683,1.77439702927184,2.57621277033077
Ptpra,2.22781092254128,2.86863611403838,2.15047006803027,0.198956306383642,1.55716810179541,3.5943312689618,3.65225809221265,6.0612215980974,4.16890365017432,4.11441921709596,3.45296626221231,4.6639620037169
Ptprb,5.37664626126778,5.16265090073325,0,0.179407108946512,3.27403708243,1.04874268919609,0.74461629316061,0,0.684041687442673,0.205977477924302,0.447146075124466,1.84318056705917
Ptprc,0,0,0,0,0,0,0,0,3.44556714267077,2.90385755841248,0,0
Ptprcap,0,0,0,0,0.0266983161096669,0.00714941675202671,0,0,0.163224861339095,0.646050330851562,0.17341856736408,0.129111377575003
Ptprd,1.53584595255294,0.947741740810752,1.22972889211711,0.111350386824356,0,0,0,0,0.0965552143660407,0.0721271348120015,0.126380382264133,0
Ptpre,4.44816903004058,4.9848555409375,1.7207282137688,0.0502038838274638,0.274201408325809,0.0622270723499115,0,0.218135357450652,3.92573972553158,2.04113086231057,0.165914744238669,0.551397864504119
Ptprf,5.55796208969577,3.7279893740075,0.360828282258944,1.51586325074157,1.48017628138384,3.20176199224807,4.61534572516737,7.557820456506,1.49430518245078,1.12644783957375,6.60389043524124,6.9093213155119
Ptprg,3.38078248141962,3.14558003938635,2.79661261581855,0.878968135020753,0.519849256756903,1.14296540240129,2.13423527939868,0.686872742232512,2.38503651806286,3.0945646911469,2.59613477815727,2.44241765657687
Ptprh,0.00324663373981233,0.416949796467081,0.188666528924516,0,0.0573630736038838,0,0,0,1.49902731827098,2.02597512472062,0,0
Ptprj,0.830624604946563,1.93412826243436,0,0.33937740745872,0.341803236928417,0.134307186451761,0.335843433558277,0.231515374590169,2.97183212544278,1.92205018292035,1.84117822090969,2.13964648454126
Ptprk,0.644219085516576,0.1876973289744,0.04351501014778,0.0898419250896431,0.181414811105431,1.14359036163314,1.94399228857523,3.01264106851855,2.06309044048778,2.1324356298875,4.31893347284929,2.75285489735246
